id,travel_gap_2013,travel_gap_2014,travel_gap_2015,travel_gap,booking_count,frequency_count_2013,frequency_count_2014,frequency_count_2015,frequency_count,revenue_count_2013,revenue_count_2014,revenue_count_2015,revenue_count,duty_free_count_2013,duty_free_count_2014,duty_free_count_2015,duty_free_count
20020900000497,-1,-1,4838400,15655680,0,1,1,4,2,590.49,327.01,960.09,1877.59,0,0,0,0
20020900000552,-1,-1,9115200,9115200,0,0,0,3,1,0,0,577.93,577.93,0,0,0,0
20020900000556,5832000,1209600,2557440,6436800,1,3,4,6,4,822.76,911.62,1413.36,3147.74,0,0,0,0
20020900000586,4348800,4449600,3784320,4309200,0,4,7,6,5,517.02,850.71,678.76,2046.49,121,0,0,121
20020900000604,-1,-1,-1,-1,0,0,0,2,0,0,0,284.14,284.14,0,0,0,0
20020900000621,1814400,1958400,1806545,2536457,1,7,10,12,9,1024.86,2153.45,2291.1,5469.41,0,0,0,0
20020900000640,-1,-1,-1,-1,0,0,0,1,0,0,0,313.56,313.56,0,0,0,0
20020900000646,3402000,2937600,-1,5443200,0,9,6,1,5,1805.21,1355.92,194.53,3355.66,0,0,0,0
20020900000669,1876114,2061257,2220480,2151360,0,15,15,11,13,1087.64,1290.11,976.51,3354.26,0,0,0,0
20020900000671,2700000,2937600,4593600,4747452,0,9,4,7,6,995.57,437.99,743.78,2177.34,0,0,0,0
20021000000034,6796800,-1,1123200,8688000,0,4,2,4,3,1108.42,357.5,365.4,1831.32,0,0,0,0
20021000000041,-1,-1,-1,-1,0,0,0,2,0,0,0,1103.76,1103.76,0,0,0,0
20021000000055,-1,-1,-1,-1,0,0,0,2,0,0,0,378.86,378.86,0,0,0,0
20021000000082,-1,-1,-1,-1,0,0,0,1,0,0,0,120.87,120.87,0,0,0,0
20021000000096,3916800,1233163,2041200,2923200,0,4,12,9,8,686.02,1190.37,845.41,2721.8,0,0,0,0
20021000000097,-1,-1,-1,-1,0,0,0,2,0,0,0,158.67,158.67,0,0,0,0
20021000000129,-1,-1,576000,12407040,0,2,0,4,2,304.42,0,371.39,675.81,0,0,0,0
20021000000131,-1,-1,-1,-1,0,0,0,2,0,0,0,365.42,365.42,0,0,0,0
20021000000135,-1,3939840,-1,6220800,0,0,6,2,2,0,542.67,172.52,715.19,0,0,0,0
20021000000140,-1,-1,-1,-1,0,0,0,2,0,0,0,218.4,218.4,0,0,0,0
20021000000184,4011428,3607200,4464000,3805356,0,8,9,7,8,1665.18,1946.88,1080.78,4692.84,0,0,0,0
20021000000210,-1,2194560,-1,7862400,0,2,6,1,3,179.3,375.62,124.59,679.51,0,0,0,0
20021000000337,-1,-1,-1,-1,0,0,0,2,0,0,0,152.36,152.36,0,0,0,0
20021000000358,781920,1366690,1407085,1171938,2,41,23,15,26,7811.87,3486.92,1559.98,12858.77,1213,0,0,1213
20021000000368,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0
20021000000409,-1,3657600,-1,7948800,2,2,4,2,2,232.88,1167.16,271.14,1671.18,0,0,0,0
20021000000423,4550400,5990400,-1,7190400,0,4,4,2,3,1529.48,1408.96,357.52,3295.96,0,0,0,0
20021000000424,-1,-1,-1,5990400,0,0,2,2,1,0,412.84,266.94,679.78,0,0,0,0
20021000000425,2736000,-1,-1,12648960,0,4,0,2,2,686.46,0,505.14,1191.6,0,0,0,0
20021000000436,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20021000000487,-1,-1,-1,-1,0,0,0,1,0,0,0,528.99,528.99,0,0,0,0
20021000000498,4073142,2150400,3542400,3919418,0,8,10,5,7,1639.29,2572.82,875.79,5087.9,0,64,550,614
20021000000510,-1,-1,-1,-1,0,0,0,2,0,0,0,268.36,268.36,0,0,0,0
20021000000511,-1,-1,-1,-1,0,0,0,2,0,0,0,268.36,268.36,0,0,0,0
20021000000536,-1,-1,-1,-1,0,0,0,2,0,0,0,97.82,97.82,0,0,0,0
20021000000552,-1,-1,3744000,15033600,0,1,0,4,1,305.51,0,330.6,636.11,0,0,0,0
20021000000575,-1,-1,518400,518400,0,0,0,4,1,0,0,402.22,402.22,0,0,0,0
20021000000576,-1,-1,-1,-1,0,0,0,2,0,0,0,253.9,253.9,0,0,0,0
20021000000593,-1,-1,6537600,12715200,0,1,2,4,2,148.63,675.54,607.02,1431.19,0,0,0,0
20021000000609,-1,-1,10065600,13766400,0,2,2,3,2,297.28,301.86,1583.74,2182.88,0,0,0,0
20021000000636,-1,3398400,5097600,8131200,0,2,4,4,3,201.34,294.58,290.9,786.82,0,0,0,0
20021000000643,1425600,2640000,3702857,2949120,0,13,10,8,10,2415.96,1724.91,3229.78,7370.65,0,0,0,0
20021000000658,-1,8208000,-1,6350400,0,0,4,1,1,0,395.16,94.44,489.6,0,0,0,0
20021000000689,-1,-1,-1,-1,0,0,0,2,0,0,0,295.44,295.44,0,0,0,0
20021000000701,-1,-1,7920000,7920000,0,0,0,4,1,0,0,374.42,374.42,0,0,0,0
20021000000752,-1,-1,-1,-1,0,0,0,2,0,0,0,574.18,574.18,0,0,0,0
20021100000005,-1,-1,-1,-1,0,0,0,2,0,0,0,244.96,244.96,0,0,0,0
20021100000014,-1,-1,316800,8467200,0,0,2,4,2,0,3180.0,1075.0,4255.0,0,0,0,0
20021100000090,-1,-1,8078400,8078400,0,0,0,3,1,0,0,464.88,464.88,0,0,0,0
20021100000156,1280973,1618863,1703314,1491144,0,24,20,15,19,3579.88,3116.59,2317.49,9013.96,0,0,0,0
