id,travel_gap_2013,travel_gap_2014,travel_gap_2015,travel_gap,booking_count,frequency_count_2013,frequency_count_2014,frequency_count_2015,frequency_count,revenue_count_2013,revenue_count_2014,revenue_count_2015,revenue_count,duty_free_count_2013,duty_free_count_2014,duty_free_count_2015,duty_free_count
20010400000617,3300480,-1,-1,8774400,0,6,2,2,3,1523.3,431.06,306.76,2261.12,0,0,0,0
20010400000618,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010400000629,-1,-1,-1,-1,0,0,0,1,0,0,0,547.96,547.96,0,0,0,0
20010400000640,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010400000642,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010400000660,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010400000667,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0
20010400000682,-1,3585600,4527360,5690880,0,1,9,6,5,310.79,2577.0,1265.0,4152.79,0,0,0,0
20010400000692,-1,-1,-1,-1,0,0,0,2,0,0,0,1156.14,1156.14,0,0,0,0
20010400000758,2466327,-1,1371600,3275345,0,12,2,9,7,1622.34,302.34,2629.82,4554.5,0,0,0,0
20010400000785,-1,-1,748800,748800,0,0,0,4,1,0,0,614.98,614.98,0,0,0,0
20010400000786,-1,-1,-1,-1,0,0,0,2,0,0,0,425.12,425.12,0,0,0,0
20010400000789,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010400000791,2505600,2567314,-1,6234092,0,4,8,2,4,1099.52,1450.0,265.0,2814.52,0,0,0,0
20010400000804,-1,-1,2332800,2332800,0,0,0,4,1,0,0,344.68,344.68,0,0,0,0
20010400000832,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010400000846,-1,-1,-1,-1,0,0,0,1,0,0,0,83.81,83.81,0,0,0,0
20010400000882,-1,-1,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0
20010400000891,-1,-1,-1,21600000,0,1,1,2,1,100.39,74.65,100.9,275.94,0,0,0,0
20010400000893,3218400,3033600,3036342,3246646,2,9,10,8,9,2167.76,2626.25,1980.9,6774.91,0,0,0,0
20010400000895,-1,-1,-1,-1,4,0,0,0,0,0,0,0,0,0,0,0,0
20010400000902,7257600,6307200,5472000,9187200,0,3,3,4,3,651.79,757.61,1248.38,2657.78,0,0,0,0
20010400000910,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010400000914,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010400000937,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010400000941,3853440,4631040,-1,4924800,4,6,6,1,4,1777.45,1147.6,603.45,3528.5,0,0,0,0
20010400000943,2440800,2529163,2445120,2550034,0,13,12,11,12,1949.89,1189.36,1691.27,4830.52,0,0,0,0
20010500000046,4423680,7545600,6969600,6499938,4,6,4,4,4,1752.1,1299.6,2922.6,5974.3,0,0,0,0
20010500000081,-1,-1,648000,648000,0,0,0,3,1,0,0,908.72,908.72,0,0,0,0
20010500000106,13564800,-1,-1,18770400,0,3,0,2,1,1099.98,0,522.0,1621.98,0,0,0,0
20010500000145,-1,-1,2505600,2505600,0,0,0,4,1,0,0,470.52,470.52,0,0,0,0
20010500000198,3381942,-1,2476800,5549538,0,8,2,4,4,990.0,270.0,395.0,1655.0,0,0,0,0
20010500000250,-1,-1,-1,-1,0,0,0,2,0,0,0,225.0,225.0,0,0,0,0
20010500000263,-1,-1,-1,-1,0,0,0,2,0,0,0,69.46,69.46,0,0,0,0
20010500000271,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010500000310,3939840,2222836,2616685,3134592,0,6,12,8,8,517.8,1003.86,849.79,2371.45,0,0,128,128
20010500000385,1824564,2153828,1560600,1824979,1,18,15,17,16,3557.55,2236.1,3040.08,8833.73,0,0,0,0
20010500000441,-1,6278400,4809600,8860800,0,2,4,4,3,205.54,478.98,357.2,1041.72,0,39,39,78
20010500000568,-1,3196800,3493028,5536246,0,2,4,8,4,184.16,329.22,832.28,1345.66,0,0,0,0
20010500000574,4089600,5529600,-1,5695200,0,7,4,2,4,878.17,553.01,174.76,1605.94,0,0,0,0
20010500000582,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010500000592,-1,-1,-1,-1,0,0,0,2,0,0,0,392.42,392.42,0,0,0,0
20010500000600,1495800,8553600,2364218,2745290,0,17,3,12,10,3517.72,1434.86,3167.86,8120.44,0,0,0,0
20010500000604,-1,-1,-1,-1,0,0,0,2,0,0,0,452.88,452.88,0,0,0,0
20010500000608,1123200,-1,-1,7862400,0,5,2,2,3,2286.21,0.0,155.96,2442.17,0,0,0,0
20010500000609,3434400,3024000,1909440,2969280,0,9,11,11,10,1065.33,1452.22,1399.08,3916.63,0,0,0,0
20010500000622,-1,-1,-1,-1,0,0,0,2,0,0,0,574.18,574.18,0,0,0,0
20010500000631,-1,-1,-1,-1,0,0,0,2,0,0,0,398.08,398.08,0,0,0,0
20010500000641,2920320,2083200,-1,4137035,0,6,10,2,6,4483.32,3015.53,347.28,7846.13,0,0,0,0
20010500000647,-1,-1,-1,-1,0,0,0,2,0,0,0,405.27,405.27,0,0,0,0
20010500000654,-1,5184000,-1,16122240,0,1,3,2,2,1646.65,3661.2,2704.28,8012.13,0,0,0,0
20010500000656,-1,-1,-1,-1,0,0,0,2,0,0,0,270.78,270.78,0,0,0,0
20010500000671,-1,3870720,2736000,4782857,0,2,6,7,5,834.56,1813.45,2367.17,5015.18,0,0,0,0
20010500000677,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010500000710,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,4633,0,4633
20010500000729,-1,-1,7833600,9296640,0,0,2,4,2,0,1086.54,1510.64,2597.18,0,0,0,0
20010500000734,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,146,0,314,460
20010500000751,1832914,2160000,2256000,2182736,2,15,14,10,13,1774.93,1229.82,859.1,3863.85,0,0,0,0
20010500000762,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010500000779,2235600,5313600,4129920,4229052,0,9,5,6,6,1762.47,934.63,1180.18,3877.28,0,0,0,0
20010500000792,2818800,2880000,1867569,2621700,0,9,10,14,11,2890.0,3125.0,3843.46,9858.46,0,0,0,0
20010500000794,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010500000809,-1,2926800,2451600,3956210,0,2,9,9,6,201.2,1020.66,1181.56,2403.42,0,0,0,0
20010500000818,-1,-1,-1,-1,0,0,0,2,0,0,0,611.87,611.87,0,0,0,0
20010500000821,2484000,1584000,-1,3959152,0,9,7,2,6,1650.25,1733.09,787.82,4171.16,0,0,0,0
20010500000837,8150400,-1,-1,14025600,0,4,1,2,2,1130.94,284.37,350.0,1765.31,0,0,0,0
20010500000838,-1,-1,-1,-1,0,0,0,2,0,0,0,270.08,270.08,0,0,0,0
20010500000860,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010500000866,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010500000869,-1,-1,-1,14889600,0,0,2,2,1,0,540.44,341.88,882.32,0,0,0,0
20010500000870,3369600,2980800,3369600,4654800,0,9,3,5,5,2110.8,601.91,698.64,3411.35,0,0,0,0
20010500000913,1699200,-1,2505600,8985600,0,4,0,3,2,855.44,0,634.31,1489.75,0,0,0,0
20010500000930,3412800,3513600,2236800,3459456,0,9,7,10,8,1598.69,1197.65,1861.74,4658.08,0,0,0,0
20010500000933,2635200,-1,-1,9072000,0,7,0,2,3,2939.19,0,608.64,3547.83,0,0,0,0
20010500000963,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010500000993,-1,2456228,3162240,4469760,0,2,8,6,5,174.66,605.98,815.74,1596.38,0,0,0,0
20010500000999,-1,15292800,-1,12718080,0,1,3,2,2,227.88,713.31,134.84,1076.03,0,0,0,0
20010600000022,-1,-1,-1,19915200,0,2,0,1,1,193.44,0,210.29,403.73,0,0,0,0
20010600000083,-1,1267200,3830400,8006400,0,2,4,4,3,335.0,630.0,530.0,1495.0,0,0,0,0
20010600000084,-1,-1,1814400,1814400,0,0,0,4,1,0,0,530.0,530.0,0,0,0,0
20010600000095,-1,-1,-1,10886400,0,0,2,2,1,0,692.0,396.2,1088.2,0,0,0,0
20010600000133,-1,-1,4982400,16744320,0,1,1,4,2,659.19,410.07,1594.9,2664.16,0,0,0,0
20010600000184,-1,-1,-1,-1,0,0,0,2,0,0,0,365.26,365.26,0,0,0,0
20010600000231,3888000,2497745,2888228,3056000,0,8,12,8,9,1952.57,2817.72,1680.78,6451.07,0,0,0,0
20010600000236,1112832,1205280,1270588,1394550,0,26,21,18,21,6590.61,6457.53,2763.93,15812.07,221,235,0,456
20010600000269,-1,-1,-1,-1,0,0,0,2,0,0,0,174.76,174.76,0,0,0,0
20010600000270,-1,-1,-1,-1,0,0,0,2,0,0,0,174.76,174.76,0,0,0,0
20010600000290,2592000,4307657,3196800,3193600,1,12,8,8,9,5005.57,2343.31,1670.19,9019.07,0,0,0,0
20010600000295,-1,1612800,-1,7430400,0,0,4,2,2,0,463.68,163.09,626.77,0,0,0,0
20010600000299,-1,-1,-1,14817600,0,0,2,1,1,0,224.52,249.04,473.56,0,0,0,0
20010600000335,-1,-1,-1,-1,0,0,0,1,0,0,0,408.69,408.69,0,0,0,0
20010600000341,3139200,3075840,921600,5522953,0,4,6,4,4,578.4,932.18,342.62,1853.2,0,0,0,0
20010600000349,-1,-1,-1,-1,0,0,0,2,0,0,0,280.7,280.7,0,0,0,0
20010600000372,-1,-1,-1,-1,8,0,0,0,0,0,0,0,0,0,0,0,0
20010600000381,-1,-1,-1,-1,0,0,0,2,0,0,0,222.43,222.43,0,0,0,0
20010600000386,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010600000397,2611200,2149200,1670400,2622494,0,10,9,16,11,1601.45,1675.87,2348.08,5625.4,0,0,0,0
20010600000409,2576290,1883520,6069600,2727000,0,12,16,5,11,4830.77,5327.41,2170.63,12328.81,0,0,0,0
20010600000414,-1,1539490,1950171,2551073,0,0,12,8,6,0,2131.24,896.62,3027.86,0,0,0,0
20010600000461,5011200,3493028,2928000,3771547,0,6,8,10,8,500.06,597.02,897.3,1994.38,0,0,0,0
20010600000462,1563054,2108160,-1,3515115,0,12,6,2,6,2455.59,1149.88,371.2,3976.67,0,0,0,0
20010600000468,-1,-1,-1,-1,0,0,1,1,0,0,720.61,720.61,1441.22,0,0,0,0
20010600000476,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010600000479,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0
20010600000492,835978,595800,1300320,849465,5,38,49,21,36,5856.44,7799.03,2915.01,16570.48,0,0,0,0
20010600000499,-1,835200,-1,10911085,0,2,4,2,2,294.32,131.82,0.0,426.14,0,0,0,0
20010600000516,2790720,3974400,2851200,4688336,0,11,3,6,6,1856.06,507.51,1051.03,3414.6,59,0,0,59
20010600000520,6134400,-1,-1,11935542,0,4,2,2,2,1822.24,388.16,271.12,2481.52,0,0,0,0
20010600000533,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010600000554,3013200,3431314,6091200,4110171,0,9,8,5,7,3791.86,1595.21,882.83,6269.9,0,0,0,0
20010600000581,-1,-1,-1,-1,0,0,0,2,0,0,0,1095.92,1095.92,0,0,0,0
20010600000596,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
20010600000597,1141982,1415314,1116288,1236371,0,24,22,26,24,1626.28,1896.58,2206.64,5729.5,0,0,0,0
20010600000606,-1,-1,-1,-1,0,0,0,2,0,0,0,148.99,148.99,0,0,0,0
20010600000607,1440000,1324800,-1,7459200,0,4,4,2,3,557.22,491.74,332.04,1381.0,0,144,0,144
20010600000634,2544872,2749090,2540160,2594541,0,12,12,11,11,1735.96,2554.52,1857.05,6147.53,0,0,0,0
20010600000637,4036114,4860000,1987200,4878720,0,8,5,3,5,1111.66,927.84,364.51,2404.01,0,0,0,0
20010600000643,-1,-1,-1,-1,0,1,0,1,0,196.58,0,233.96,430.54,0,0,0,0
