id,travel_gap_2013,travel_gap_2014,travel_gap_2015,travel_gap,booking_count,frequency_count_2013,frequency_count_2014,frequency_count_2015,frequency_count,revenue_count_2013,revenue_count_2014,revenue_count_2015,revenue_count,duty_free_count_2013,duty_free_count_2014,duty_free_count_2015,duty_free_count
19950500001190,1782981,3127680,-1,3956210,0,12,6,2,6,988.54,798.49,491.6,2278.63,0,0,0,0
19950500001197,5892480,-1,2332800,8083200,0,6,0,4,3,487.08,0,938.82,1425.9,0,0,0,0
19950500001198,-1,2793600,3484800,4381714,0,0,4,4,2,0,889.01,769.16,1658.17,0,0,0,0
19950500001219,-1,-1,-1,-1,0,0,0,2,0,0,0,104.18,104.18,0,0,0,0
19950500001220,-1,-1,-1,24451200,0,2,0,2,1,186.24,0,471.24,657.48,0,0,0,0
19950500001230,4250880,4717440,2649600,3867428,0,6,6,10,7,2011.36,2455.29,3528.62,7995.27,0,0,0,0
19950500001259,7488000,-1,4348800,10960457,0,4,0,4,2,550.72,0,1556.88,2107.6,0,0,0,0
19950500001265,-1,-1,-1,14803200,0,2,0,2,1,607.92,0,1164.0,1771.92,0,0,0,0
19950500001274,-1,-1,1694769,1969920,5,0,2,14,5,0,296.94,1625.4,1922.34,0,0,0,0
19950600000015,8150400,-1,-1,12441600,0,4,1,1,2,1284.26,387.96,387.96,2060.18,0,0,0,0
19950600000025,2505600,1840984,2840400,2628654,0,11,14,9,11,4220.99,3762.74,2509.16,10492.89,0,0,0,0
19950600000026,-1,-1,-1,14515200,0,1,2,2,1,0.0,6494.0,4866.0,11360.0,0,0,0,0
19950600000027,-1,2275200,2361600,7152000,0,2,4,4,3,2422.5,1328.06,553.56,4304.12,0,0,0,0
19950600000043,-1,-1,-1,15603840,0,2,2,2,2,810.36,908.8,1098.5,2817.66,0,0,0,0
19950600000050,2998080,1947323,1674000,2183180,0,11,14,17,14,3163.33,3321.67,4179.0,10664.0,0,0,0,0
19950600000053,-1,576000,2755200,4506092,0,0,4,10,4,0,810.0,3316.66,4126.66,0,0,0,0
19950600000056,-1,-1,-1,13150080,0,2,2,2,2,1221.7,663.0,801.0,2685.7,0,0,0,0
19950600000069,1524960,1314782,1980553,1553710,0,21,24,14,19,5220.02,6846.33,2754.98,14821.33,0,0,0,0
19950600000095,3129600,1537920,2301381,3312000,0,10,6,12,9,4610.31,2697.62,6743.4,14051.33,0,0,0,0
19950600000096,-1,-1,2972160,2972160,0,0,0,6,2,0,0,621.42,621.42,0,0,0,0
19950600000125,6998400,1670400,1783542,2644954,4,4,13,15,10,4070.44,4757.99,5206.47,14034.9,0,0,0,0
19950600000127,-1,-1,-1,-1,0,0,0,2,0,0,0,1230.0,1230.0,0,0,0,0
19950600000147,3381942,5904000,-1,5609353,2,8,4,2,4,6318.05,3717.15,644.32,10679.52,0,583,0,583
19950600000148,2512800,2430000,4043520,3232000,0,13,9,6,9,3142.48,2001.16,1393.98,6537.62,0,0,0,0
19950600000182,-1,1710720,5385600,7988072,0,2,6,4,4,0.0,149.1,1073.2,1222.3,0,0,0,0
19950600000219,2254254,6013440,5218560,3895513,0,12,6,6,8,1671.36,1449.07,1273.52,4393.95,0,0,0,0
19950600000245,-1,4622400,3830400,10775314,0,1,3,4,2,129.94,2042.26,920.61,3092.81,0,0,0,0
19950600000247,3196800,1857600,6969600,3752228,0,7,11,4,7,747.69,2043.93,512.73,3304.35,0,0,0,0
19950600000262,-1,921600,1382400,4968000,0,0,4,3,2,0,844.1,1295.86,2139.96,0,0,0,0
19950600000263,-1,5529600,2149200,4140553,0,0,5,9,4,0,2459.58,2636.17,5095.75,0,0,0,0
19950600000285,-1,-1,3434400,3434400,0,0,0,5,1,0,0,930.58,930.58,0,0,0,0
19950600000357,2272984,2272984,2799360,2371452,0,14,14,11,13,2156.14,2017.52,1490.96,5664.62,0,0,0,0
19950600000364,3628800,-1,-1,7526400,0,7,1,2,3,1854.99,238.52,294.62,2388.13,0,0,0,0
19950600000366,1920000,1166400,2411345,1623600,1,10,27,12,16,3104.93,12135.77,7053.94,22294.64,0,0,0,0
19950600000412,2453760,1674830,1920738,2280505,0,11,14,14,13,3800.7,2795.22,2430.19,9026.11,0,0,0,0
19950600000427,-1,-1,-1,-1,0,0,0,2,0,0,0,384.28,384.28,0,0,0,0
19950600000447,-1,-1,6393600,6393600,0,0,0,3,1,0,0,625.25,625.25,0,0,0,0
19950600000471,2937600,-1,2160000,6316800,0,5,2,3,3,922.56,347.04,731.95,2001.55,0,0,0,0
19950600000482,4527360,8755200,3052800,5556184,0,6,4,4,4,1920.76,1251.92,1040.54,4213.22,0,0,0,0
19950600000497,1752685,1406400,3344914,2231152,0,8,19,8,11,2895.68,4238.06,2185.88,9319.62,0,237,108,345
19950600000502,-1,-1,-1,-1,0,0,0,2,0,0,0,223.98,223.98,0,0,0,0
19950600000517,5184000,3680640,13132800,6892061,0,5,6,3,4,646.79,438.62,458.1,1543.51,0,0,0,0
19950600000522,-1,-1,806400,806400,0,0,0,4,1,0,0,294.12,294.12,0,0,0,0
19950600000531,3434400,3412800,3307885,4884480,0,5,3,8,5,1060.01,499.51,1677.48,3237.0,0,0,0,0
19950600000540,-1,7905600,-1,18360000,0,1,3,1,1,250.27,827.18,299.92,1377.37,0,0,0,0
19950600000541,2384640,4011428,3386880,3196800,0,11,8,6,8,980.0,535.78,545.36,2061.14,0,0,0,0
19950600000553,-1,-1,2609280,8342400,0,2,2,6,3,4252.66,0.0,1029.97,5282.63,0,0,0,0
19950600000565,-1,-1,-1,16502400,0,2,0,2,1,283.76,0,526.33,810.09,0,0,0,0
19950600000571,1920738,2233107,1405963,2009353,0,14,14,12,13,5395.47,4819.59,6114.42,16329.48,0,0,0,0
19950600000607,-1,12225600,7574400,10800000,2,2,3,4,3,544.06,694.13,872.5,2110.69,0,66,0,66
19950600000656,-1,-1,-1,-1,0,0,0,2,0,0,0,287.88,287.88,0,0,0,0
19950600000672,-1,-1,-1,-1,0,0,0,2,0,0,0,1601.44,1601.44,0,0,0,0
19950600000679,-1,1978560,1175040,2754000,0,0,11,6,5,0,1245.83,989.12,2234.95,0,0,0,0
19950600000705,-1,-1,-1,-1,0,0,0,2,0,0,0,350.88,350.88,0,0,0,0
19950600000715,2221714,3787200,-1,4579200,0,8,7,2,5,2703.45,1849.01,303.04,4855.5,0,0,0,0
19950600000718,1563054,8064000,3013200,3229200,0,12,4,9,8,2659.2,561.92,1142.61,4363.73,0,0,0,0
19950600000728,928103,697090,832581,816087,0,32,45,34,37,5302.93,7623.15,5545.21,18471.29,0,0,0,0
19950600000756,-1,4363200,3168000,11787428,0,1,3,4,2,589.41,580.98,1035.34,2205.73,0,0,0,0
19950600000775,-1,-1,-1,-1,0,0,0,2,0,0,0,368.18,368.18,0,0,0,0
19950600000839,4507200,-1,5598720,6486171,2,7,2,6,5,2871.85,953.0,2673.24,6498.09,0,0,0,0
19950600000866,7732800,10454400,7401600,9360000,0,3,3,4,3,415.9,573.43,820.88,1810.21,0,0,0,0
19950600000881,-1,-1,-1,-1,1,0,0,1,0,0,0,250.44,250.44,0,0,0,0
19950600000899,2090880,-1,-1,6288000,0,6,2,2,3,0.0,0.0,0.0,0.0,0,26,0,26
19950600000937,-1,-1,-1,12614400,0,2,1,1,1,480.26,95.88,95.88,672.02,0,0,0,0
19950600000962,2073600,1653120,1595858,1878260,0,13,16,18,15,1740.22,1733.63,2220.06,5693.91,0,0,0,0
19950600000974,-1,3006720,2797200,3628800,0,2,6,9,5,306.22,1029.26,1963.82,3299.3,0,0,0,0
