id,travel_gap_2013,travel_gap_2014,travel_gap_2015,travel_gap,booking_count,frequency_count_2013,frequency_count_2014,frequency_count_2015,frequency_count,revenue_count_2013,revenue_count_2014,revenue_count_2015,revenue_count,duty_free_count_2013,duty_free_count_2014,duty_free_count_2015,duty_free_count
20050100002617,-1,-1,-1,-1,0,0,0,2,0,0,0,210.24,210.24,0,0,0,0
20050100002627,-1,-1,172800,2678400,0,0,2,3,1,0,226.42,447.06,673.48,0,0,0,0
20050100002653,-1,-1,6883200,12718080,0,2,0,4,2,1029.32,0,1577.92,2607.24,0,0,0,0
20050100002668,-1,-1,-1,9745920,0,2,2,2,2,317.6,218.66,323.46,859.72,0,0,0,0
20050100002679,-1,-1,-1,14457600,0,2,0,2,1,149.3,0,268.36,417.66,0,0,0,0
20050100002685,-1,-1,-1,-1,0,0,0,1,0,0,0,137.04,137.04,0,0,0,0
20050100002704,-1,-1,-1,-1,0,0,0,2,0,0,0,937.0,937.0,0,0,0,0
20050100002757,-1,-1,-1,-1,0,0,0,2,0,0,0,388.78,388.78,0,0,0,0
20050100002761,-1,-1,-1,-1,0,0,0,2,0,0,0,410.42,410.42,0,0,0,0
20050100002882,-1,-1,2044800,2044800,0,0,0,4,1,0,0,737.22,737.22,0,0,0,0
20050100002968,-1,3830400,8164800,6451200,0,0,4,3,2,0,1061.18,1087.26,2148.44,0,0,0,0
20050100002988,-1,-1,-1,19094400,0,2,0,2,1,482.38,0,318.98,801.36,0,0,0,0
20050100003005,2970000,3616457,2120727,3039428,1,9,8,12,9,1624.17,1558.59,2272.93,5455.69,0,0,0,0
20050100003006,3421440,2700000,3332571,3569890,0,6,9,8,7,1708.82,3082.19,2368.29,7159.3,0,0,0,0
20050100003028,-1,-1,-1,-1,0,0,0,2,0,0,0,442.0,442.0,0,0,0,0
20050100003055,-1,-1,-1,-1,0,0,0,2,0,0,0,522.86,522.86,0,0,0,0
20050100003076,-1,-1,-1,-1,0,0,0,2,0,0,0,361.08,361.08,0,0,0,0
20050100003083,-1,-1,-1,-1,0,0,0,2,0,0,0,190.66,190.66,0,0,0,0
20050100003124,-1,-1,-1,-1,0,0,0,2,0,0,0,299.92,299.92,0,0,0,0
20050100003159,-1,-1,-1,-1,0,0,0,2,0,0,0,467.38,467.38,0,0,234,234
20050100003207,-1,-1,-1,-1,0,0,0,2,0,0,0,230.08,230.08,0,0,0,0
20050100003219,-1,-1,-1,-1,0,0,0,2,0,0,0,178.32,178.32,0,0,0,0
20050100003287,1665600,1486989,1272436,1495711,0,19,20,23,20,3760.55,4335.22,5377.25,13473.02,195,589,0,784
