id,travel_gap_2013,travel_gap_2014,travel_gap_2015,travel_gap,booking_count,frequency_count_2013,frequency_count_2014,frequency_count_2015,frequency_count,revenue_count_2013,revenue_count_2014,revenue_count_2015,revenue_count,duty_free_count_2013,duty_free_count_2014,duty_free_count_2015,duty_free_count
19960500000368,-1,-1,374400,374400,0,0,0,4,1,0,0,543.49,543.49,0,0,0,0
19960500000381,1788988,2557440,4132800,2584594,0,18,11,7,12,3183.02,1314.33,958.2,5455.55,0,0,0,0
19960500000407,-1,9115200,-1,10817280,0,2,3,1,2,1417.36,2034.32,618.22,4069.9,0,0,0,0
19960500000443,557672,657391,581400,605372,0,56,47,49,50,7028.16,5393.23,4830.49,17251.88,0,0,0,0
19960500000464,2808000,-1,-1,8121600,0,3,2,2,2,666.13,284.72,322.4,1273.25,0,0,0,0
19960500000477,-1,-1,-1,-1,0,0,0,1,0,0,0,224.09,224.09,0,0,0,0
19960500000525,1771200,3098057,2986971,3170215,0,11,8,8,9,918.85,592.72,635.2,2146.77,0,0,0,0
19960500000559,-1,-1,-1,-1,0,0,0,1,0,0,0,199.37,199.37,0,0,0,0
19960500000607,-1,-1,-1,13927680,1,2,2,2,2,187.58,479.76,878.83,1546.17,0,0,0,0
19960500000631,-1,-1,-1,-1,0,0,0,2,0,0,0,431.88,431.88,0,0,0,0
19960500000640,-1,-1,-1,-1,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0
19960500000644,2181600,2144290,2234057,2546100,0,13,12,8,11,2818.67,2832.32,4487.66,10138.65,0,0,0,0
19960500000650,2801828,4122514,-1,4070964,0,8,8,2,6,1160.69,685.3,189.86,2035.85,0,0,0,0
19960500000657,-1,-1,2548800,10310400,0,2,2,3,2,1147.8,1095.84,1317.51,3561.15,0,0,0,0
19960500000665,-1,2790720,1194573,1748329,0,0,11,24,11,0,1782.38,3250.54,5032.92,0,0,0,0
19960500000670,-1,1468800,1171200,1314681,0,0,19,19,12,0,8772.18,6387.98,15160.16,0,0,0,0
19960500000673,6782400,7689600,3110400,6918646,0,3,4,7,4,667.25,900.0,1360.62,2927.87,0,0,0,0
19960500000674,3036342,3122742,2863542,3658852,0,8,8,8,8,1180.19,1064.58,1084.69,3329.46,0,205,263,468
19960500000686,4475520,3182400,888685,3516480,0,6,7,8,7,1883.12,1560.56,2485.0,5928.68,0,0,0,0
19960500000689,5080320,-1,1641600,4676400,0,6,2,9,5,1853.66,611.6,4290.63,6755.89,0,0,0,0
