19900400000540,-1,-1,-1,8553600,0,0,2,2,1,0,297.54,145.16,442.7,0,0,94,94
19900500000509,1593000,2048914,1260654,1651200,0,17,15,23,18,5196.66,7146.38,7289.85,19632.89,0,0,156,156
19900600000175,667636,961548,1099938,887487,2,45,32,27,34,9409.66,7786.82,7055.13,24251.61,0,70,0,70
19900600000182,1512000,1225309,1076400,1329035,0,21,23,25,23,7096.05,10370.44,6334.22,23800.71,0,1027,0,1027
19900600000398,995200,1237248,981257,1051551,4,28,26,29,27,5072.45,5911.01,7075.79,18059.25,100,0,0,100
19900600000535,2476800,3477600,2188800,2656103,0,10,9,13,10,2801.98,4984.14,3284.58,11070.7,0,0,87,87
19900600000581,-1,-1,-1,-1,0,0,0,2,0,0,0,460.7,460.7,0,0,100,100
19900700000414,1863000,1987200,1405136,1738164,0,17,15,20,17,2118.23,1740.98,2686.27,6545.48,101,0,0,101
19900700000524,-1,2382171,950400,1855326,0,0,8,12,6,0,1198.66,1193.38,2392.04,0,86,120,206
19900800000040,993600,944640,1701000,1164184,3,31,31,17,26,7412.97,6707.73,4383.96,18504.66,367,0,0,367
19900800000484,4060800,4803840,1728000,4511314,0,6,6,3,5,510.29,805.94,120.75,1436.98,1051,51,0,1102
19900900000598,2073600,992206,1672094,1398857,0,14,32,18,21,3031.73,11280.23,2687.04,16999.0,0,90,135,225
19900900000650,933120,2332800,1872000,2568960,0,6,9,16,10,1560.48,1106.54,2759.76,5426.78,82,266,456,804
19901000000130,1987200,2443885,2394514,3267200,0,12,8,8,9,3180.0,696.0,1596.0,5472.0,248,415,196,859
19901000000181,919905,856376,881875,899781,1,35,35,30,33,9788.68,8688.94,9195.14,27672.76,0,360,1849,2209
19901000000280,2145600,3216000,3576960,2983885,0,13,10,6,9,4558.5,3210.95,1747.74,9517.19,74,433,489,996
19901100000029,5155200,2184685,3438720,3344400,1,4,15,6,8,3901.0,13322.25,3528.98,20752.23,0,1236,0,1236
19901100000037,2540160,2062080,1631435,1967563,3,11,16,18,15,1346.69,4420.73,7038.86,12806.28,0,0,508,508
19901100000174,1783542,1687680,1612800,1898921,4,15,16,16,15,3432.53,2565.8,2821.96,8820.29,0,168,0,168
19901100000201,3931200,4176000,3801600,5065200,0,5,4,8,5,621.76,1079.6,1487.91,3189.27,0,0,341,341
19901100000266,3264000,4276800,4536000,3899269,1,10,7,7,8,3070.23,1977.87,2124.55,7172.65,0,190,0,190
19901100000575,1598400,4631040,2105018,3214080,4,3,6,12,7,564.57,686.4,3398.7,4649.67,0,37,0,37
19901200000329,2299569,4320000,1955781,2733381,0,14,8,12,11,2765.31,1416.9,1750.94,5933.15,0,309,0,309
19901200000593,3726000,2411345,3229200,3065710,0,9,12,9,10,4630.78,4907.94,4723.35,14262.07,463,325,0,788
19910100000040,955800,1206144,2842560,1316034,8,33,26,11,23,12964.74,11556.39,7051.99,31573.12,0,45,0,45
19910100000415,-1,-1,-1,8691840,2,2,2,2,2,1138.1,1398.5,570.0,3106.6,0,205,0,205
19910100000685,-1,-1,-1,10350720,0,2,2,2,2,500.52,291.14,388.16,1179.82,0,125,0,125
19910100000895,2626560,1807753,3177600,2584376,0,11,14,10,11,3132.67,3848.98,2396.92,9378.57,0,0,1128,1128
19910200000255,2662690,874472,803011,1127520,1,12,34,35,27,6209.52,15700.54,16773.63,38683.69,0,1182,0,1182
19910200000488,-1,3075840,6912000,8630400,2,1,6,3,3,480.0,2427.65,1672.15,4579.8,0,0,848,848
19910300000126,634212,445976,570600,541963,2,48,69,49,55,19134.94,26315.89,24450.57,69901.4,746,1443,1964,4153
19910300000650,745990,918981,712800,800742,0,42,34,37,37,8765.83,7143.49,7009.99,22919.31,0,0,66,66
19910400000471,3922560,4302720,7084800,5616000,0,6,6,4,5,452.8,391.92,241.02,1085.74,0,36,0,36
19910500000369,5616000,2554971,-1,5104246,2,4,8,2,4,521.22,1489.62,365.17,2376.01,0,0,52,52
19910500000627,2112000,7142400,2534400,3504834,0,10,4,10,8,2800.52,1503.76,1575.68,5879.96,277,0,0,277
19910500000764,1217113,1129846,1919314,1381070,2,24,27,15,22,4485.19,4977.36,2418.94,11881.49,0,0,220,220
19910500000769,4665600,2258742,2197028,4130742,0,6,8,8,7,1948.04,3225.47,2080.62,7254.13,0,37,0,37
19910500000843,-1,9907200,892800,6430628,0,0,4,4,2,0,1317.76,1755.62,3073.38,0,0,225,225
19910600000042,1923840,2226461,2272320,2172960,1,16,14,11,13,13410.05,9334.86,4404.6,27149.51,0,162,0,162
19910700000417,-1,201600,403200,9705600,0,2,4,4,3,712.5,632.0,1125.0,2469.5,0,0,228,228
19910700000799,1587031,1442880,1411200,1620000,0,20,21,16,19,4569.57,5117.44,1752.62,11439.63,0,897,244,1141
19910700000813,1940676,1529280,3604114,2149714,0,14,21,8,14,2978.14,4237.08,1063.2,8278.42,0,190,0,190
19910700001395,2153353,2066953,3024000,2443885,0,14,14,8,12,1654.96,2617.56,829.66,5102.18,0,64,0,64
19910800000073,1442880,995657,1851428,1587031,0,21,22,15,19,4047.04,3007.23,1912.93,8967.2,379,0,0,379
19910800000440,-1,-1,3099600,9897600,0,1,0,9,3,215.14,0,2039.53,2254.67,0,0,155,155
19910800000694,2908800,2544000,2380800,3027756,0,4,10,10,8,960.61,1967.96,3087.4,6015.97,195,0,0,195
19910800001116,3283200,2332800,4959360,3011200,0,8,14,6,9,665.91,1515.34,651.95,2833.2,0,0,268,268
