id,travel_gap_2013,travel_gap_2014,travel_gap_2015,travel_gap,booking_count,frequency_count_2013,frequency_count_2014,frequency_count_2015,frequency_count,revenue_count_2013,revenue_count_2014,revenue_count_2015,revenue_count,duty_free_count_2013,duty_free_count_2014,duty_free_count_2015,duty_free_count
19990700001376,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
19990700001383,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
19990700001390,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
19990700001393,-1,-1,4060800,12722400,0,2,0,3,1,1358.4,0,1688.89,3047.29,0,0,0,0
19990700001409,3937371,5650560,5097600,5133176,0,8,6,4,6,674.7,549.18,291.02,1514.9,0,0,0,0
19990700001420,-1,-1,3888000,3888000,0,0,0,6,2,0,0,444.0,444.0,0,0,0,0
19990700001426,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
19990700001449,2764800,1883520,1008000,3527373,0,9,11,4,8,1802.74,2915.75,495.74,5214.23,0,0,0,0
19990700001453,-1,-1,-1,-1,0,0,0,2,0,0,0,225.62,225.62,0,0,0,0
19990700001464,4872960,5299200,-1,7728872,0,6,4,2,4,1345.35,740.94,300.36,2386.65,0,0,0,0
19990700001467,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,105,0,105
19990800000023,2354400,3438720,2611200,3070285,0,13,6,10,9,4918.21,2562.5,2591.68,10072.39,0,0,0,0
19990800000034,8769600,-1,-1,20066400,0,3,0,2,1,1110.0,0,310.0,1420.0,0,0,0,0
19990800000041,1137600,1166400,2269963,3168000,0,7,9,12,9,1499.6,1505.18,3077.75,6082.53,0,0,0,0
19990800000105,-1,-1,5702400,5702400,0,0,0,3,1,0,0,841.43,841.43,0,0,0,0
19990800000117,-1,-1,-1,633600,0,0,2,2,1,0,266.3,266.3,532.6,0,0,0,0
19990800000151,1425600,604800,-1,8218800,0,3,4,2,3,1604.23,2232.58,1619.5,5456.31,0,0,0,0
19990800000169,1417745,3480685,2799360,2235863,2,23,8,11,14,20647.52,7910.0,1971.98,30529.5,0,0,0,0
19990800000180,-1,3686400,-1,8121600,0,2,4,2,2,957.0,1526.5,396.2,2879.7,0,0,0,0
19990800000184,-1,-1,-1,-1,0,0,0,2,0,0,0,370.96,370.96,0,0,0,0
19990800000216,-1,7992000,2246400,7931520,0,2,3,6,3,679.66,614.47,1734.23,3028.36,0,0,0,0
19990800000230,432000,15076800,-1,5558400,0,3,3,1,2,753.78,1119.28,364.88,2237.94,0,0,0,0
19990800000255,-1,3427200,-1,8726400,0,0,4,1,1,0,1090.65,525.47,1616.12,0,0,0,0
19990800000273,6998400,7545600,5313600,7020000,0,4,4,5,4,4357.1,4536.66,7214.03,16107.79,0,0,0,0
19990800000278,-1,7776000,-1,6739200,0,1,5,2,2,520.0,2338.0,1186.0,4044.0,0,0,0,0
19990800000288,2534400,-1,-1,14238720,0,4,0,2,2,1459.29,0,822.44,2281.73,0,0,0,0
19990800000294,2211840,2384640,1555200,2854800,0,11,11,3,8,2881.97,2385.33,907.22,6174.52,0,0,0,0
19990800000299,-1,-1,2851200,2851200,0,0,0,3,1,0,0,429.39,429.39,0,0,0,0
19990800000302,1042758,874164,858600,927241,0,30,35,33,32,5960.93,6072.88,6856.09,18889.9,0,0,116,116
19990800000303,3225600,-1,-1,7871040,0,7,2,2,3,1644.47,606.66,668.2,2919.33,0,0,0,0
19990800000317,-1,-1,4924800,4924800,0,0,0,3,1,0,0,27.18,27.18,0,0,76,76
19990800000324,-1,-1,-1,-1,0,0,0,2,0,0,0,303.24,303.24,0,0,0,0
19990800000341,-1,-1,-1,12804480,0,2,2,2,2,365.54,416.88,491.92,1274.34,0,0,0,0
19990800000384,2476800,6955200,3332571,3821236,3,10,5,8,7,1934.1,1034.45,2049.8,5018.35,0,0,0,0
19990800000409,-1,129600,3600000,4147200,0,0,3,4,2,0,0.0,0.0,0.0,0,0,0,0
19990800000411,-1,-1,4993920,4993920,0,0,0,6,2,0,0,1282.42,1282.42,0,0,0,0
19990800000419,-1,259200,-1,4596480,0,0,4,2,2,0,1215.02,261.2,1476.22,0,0,0,0
19990800000421,-1,-1,-1,12493440,0,2,2,2,2,415.84,411.88,271.04,1098.76,0,0,0,0
19990800000431,1747938,2152800,1973907,2168640,0,14,13,14,13,3873.24,3450.45,4174.51,11498.2,0,0,0,0
19990800000439,-1,-1,-1,14198400,0,2,0,2,1,168.5,0,603.42,771.92,0,0,0,0
19990800000443,-1,-1,-1,-1,0,0,0,2,0,0,0,271.51,271.51,0,0,0,0
19990800000457,5299200,-1,-1,12326400,0,4,1,2,2,321.84,82.38,177.06,581.28,0,0,0,0
19990800000521,-1,4320000,-1,5486400,0,0,6,1,2,0,969.17,119.15,1088.32,0,0,0,0
19990800000524,-1,2920320,-1,6035657,0,2,11,2,5,378.62,1840.21,194.56,2413.39,0,0,93,93
19990800000533,-1,-1,-1,-1,0,0,0,2,0,0,0,428.44,428.44,0,0,0,0
19990800000564,1378472,1065600,1360800,1275312,0,23,28,21,24,1866.26,2515.0,2018.21,6399.47,0,0,0,0
19990800000570,604800,-1,1065600,11478857,0,4,0,4,2,722.0,0,792.0,1514.0,0,0,0,0
19990800000586,-1,-1,-1,-1,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0
19990800000610,1876114,1301082,2047015,2038153,0,8,18,14,13,2363.62,4316.54,3023.5,9703.66,0,0,0,0
19990800000614,3418971,1589760,2311200,2392800,0,8,16,13,12,948.53,1458.51,1277.88,3684.92,0,0,0,0
19990800000637,-1,-1,-1,8812800,0,0,2,2,1,0,450.26,426.74,877.0,0,0,0,0
19990800000638,2217600,2995200,-1,4915200,1,10,7,2,6,1132.71,1006.13,291.18,2430.02,0,0,0,0
19990800000644,-1,-1,172800,172800,0,0,0,3,1,0,0,460.83,460.83,0,0,0,0
19990800000658,3320228,3332571,3332571,3745252,0,8,8,8,8,856.65,607.7,522.12,1986.47,0,0,0,0
19990800000660,1717200,1579200,1427873,1580334,3,17,19,20,18,9325.78,10748.09,8663.1,28736.97,0,0,0,0
19990800000676,-1,1717835,1288145,2332800,0,2,18,12,10,191.48,1742.42,1021.66,2955.56,0,0,0,0
19990800000694,1542857,829440,302400,4606200,0,8,6,3,5,5414.94,2561.46,2476.95,10453.35,0,0,0,0
