id,travel_gap_2013,travel_gap_2014,travel_gap_2015,travel_gap,booking_count,frequency_count_2013,frequency_count_2014,frequency_count_2015,frequency_count,revenue_count_2013,revenue_count_2014,revenue_count_2015,revenue_count,duty_free_count_2013,duty_free_count_2014,duty_free_count_2015,duty_free_count
20050800002389,-1,-1,-1,11145600,0,0,2,2,1,0,248.16,254.2,502.36,0,0,0,0
20050800002396,-1,-1,-1,-1,0,0,0,2,0,0,0,295.44,295.44,0,0,0,0
20050800002495,-1,-1,-1,-1,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0
20050800002558,4717440,1509458,8640000,3292800,0,6,18,4,9,648.24,3075.25,381.16,4104.65,0,0,0,0
20050800002576,-1,-1,-1,-1,0,0,0,2,0,0,0,1264.44,1264.44,0,0,0,0
20050800002583,-1,-1,-1,-1,0,0,0,2,0,0,0,295.42,295.42,0,0,0,0
20050800002590,3866400,1872000,-1,8242560,0,5,4,2,3,956.8,846.26,518.34,2321.4,0,0,0,0
20050800002593,-1,-1,-1,-1,0,0,0,1,0,0,0,166.67,166.67,0,0,0,0
20050800002663,-1,-1,-1,-1,0,0,0,2,0,0,0,290.1,290.1,0,0,0,0
20050800002665,-1,-1,-1,-1,0,0,0,2,0,0,0,280.4,280.4,0,0,0,0
20050800002674,-1,-1,6480000,6480000,0,0,0,4,1,0,0,821.56,821.56,0,0,0,0
20050800002675,3348000,1699200,2688000,4593600,2,5,4,10,6,1915.07,1531.78,3755.48,7202.33,0,0,0,0
20050800002681,-1,-1,-1,-1,0,0,0,1,0,0,0,242.93,242.93,0,0,0,0
20050800002683,-1,-1,-1,-1,0,0,0,2,0,0,0,295.44,295.44,0,0,0,0
20050800002684,-1,-1,-1,21052800,0,2,0,2,1,400.3,0,309.4,709.7,0,0,0,0
20050800002714,-1,-1,-1,-1,0,0,0,2,0,0,0,303.04,303.04,0,0,0,0
20050800002748,-1,-1,-1,-1,0,0,0,2,0,0,0,306.22,306.22,0,0,0,0
20050800002749,-1,-1,-1,-1,0,0,0,2,0,0,0,317.76,317.76,0,0,0,0
